index,y_pred
1697,0.0
940,0.99
501,0.0
1934,0.55
1027,0.07642857142857143
1680,0.21
10,0.34950000000000003
1960,0.0
1534,0.42
1157,0.02
1425,0.004
137,0.4098333333333333
1727,0.005
952,0.99
30,0.6916666666666665
873,0.0
560,1.0
1613,0.22
132,0.005
1893,0.26833333333333337
773,0.0
752,0.26
1798,1.0
183,0.26
1806,0.09
108,0.02
1441,0.002
583,0.01
1127,0.6386666666666667
1756,0.01666666666666667
602,1.0
1107,1.0
1208,0.4196666666666667
1266,0.82
765,0.05
980,0.0
1233,0.6766666666666665
654,0.13
627,0.0325
1363,0.051500000000000004
956,0.98
1870,1.0
1553,0.97
1146,0.1521619769119769
405,0.5266666666666666
1800,0.07666666666666667
1428,0.98
1814,0.3728333333333333
1193,0.42599999999999993
592,1.0
1744,0.23
152,0.32
1940,0.99
698,0.655
878,0.14
1880,0.4306666666666667
1426,0.005
746,0.275
669,0.04
433,0.005
1625,0.028666666666666667
327,0.30302380952380953
1677,0.028666666666666667
586,0.0
1019,0.3675
378,1.0
220,0.7546190476190476
852,0.275
1263,0.71
525,0.51
119,0.1
1937,0.58
984,0.21678571428571428
645,0.005
1657,0.03071428571428571
1113,0.01
1689,0.35783333333333334
1969,0.885
1183,0.06682539682539682
644,0.0
1778,0.0
683,0.46500432900432914
925,0.042333333333333334
995,0.4141666666666666
68,0.05
106,0.019166666666666665
181,0.0
1039,0.3159166666666667
1091,1.0
1334,0.1408333333333333
82,0.37167857142857147
29,0.005666666666666666
927,0.89
75,0.13202380952380952
1416,0.4563333333333333
790,0.59
947,0.34025000000000005
240,0.04
1251,0.676095238095238
1375,0.99
1200,0.98
215,0.05220238095238096
566,0.18516666666666665
986,0.6624166666666664
1500,0.5410833333333332
1351,0.005
1365,0.22550000000000003
1038,0.34794047619047624
225,0.08
948,0.6975000000000001
1717,0.34
499,0.02
630,0.258
2,0.34
347,0.95
889,0.48
939,0.08
912,1.0
1897,0.27666666666666667
705,0.2791666666666667
1486,0.0
1017,0.028666666666666667
764,0.35783333333333334
489,0.26666666666666666
1154,0.3
1862,0.05416666666666666
1371,0.6873333333333334
747,0.9733333333333333
774,0.02
559,0.47717171717171714
1030,0.07
828,0.9933333333333334
879,0.01
211,0.311
1044,0.9741666666666667
844,0.37153571428571425
1250,0.07
118,0.98
1009,1.0
1175,0.39016666666666666
83,0.3524999999999999
1252,0.48999999999999994
218,1.0
143,0.02
460,0.9741666666666667
1845,0.0
391,0.042
552,0.575
226,0.72
1792,1.0
1012,0.03526190476190476
1049,0.02
490,0.015
1116,0.33
448,1.0
1468,0.10366666666666667
1771,1.0
1941,0.4753333333333332
670,0.0315
1546,0.18035714285714285
1350,0.235
1687,0.01933333333333333
90,0.6848333333333332
661,0.0
1665,0.0
133,0.76
886,1.0
208,0.99
1415,0.16333333333333333
1166,0.019166666666666665
1491,0.96
1013,0.13042857142857142
903,0.004
715,0.1632783605283605
1820,0.004
1393,0.28
1281,0.034
1558,0.02
1871,1.0
531,0.002
1262,0.1633109668109668
257,0.5719999999999998
1551,0.22316666666666665
1452,1.0
1341,0.0
193,0.22083333333333333
1455,0.31972619047619044
1633,0.0675
185,0.0
1576,0.005
1943,0.28270795870795873
1189,0.212
1141,0.124
1156,0.22316666666666665
1811,0.45
1507,0.0
1519,0.0
293,0.0
1877,0.16
140,0.16101190476190477
177,0.2689246031746032
783,0.78
1417,0.34025000000000005
324,0.0
1036,0.10450000000000001
796,0.0
1654,0.92
537,0.2085238095238095
515,0.08333333333333331
720,0.21099999999999997
340,0.33
1376,0.125
87,0.0
287,0.1521619769119769
337,0.48700000000000004
92,0.05688492063492064
